ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Harris,12/1/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1095
Warren,12/1/2019 12:00:00 AM,$0.11,$0.11,$0.09,$0.11,11334
Booker,12/1/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Kasich,12/1/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/1/2019 12:00:00 AM,$0.14,$0.15,$0.14,$0.14,2311
Sanders,12/1/2019 12:00:00 AM,$0.10,$0.11,$0.10,$0.10,6297
Pence,12/1/2019 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,1229
Trump,12/1/2019 12:00:00 AM,$0.44,$0.45,$0.44,$0.44,4645
Gillibrand,12/1/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,12/1/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,12/1/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,12/1/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,12/1/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,221
Haley,12/1/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,193
Ryan,12/1/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,12/1/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,12/1/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/1/2019 12:00:00 AM,$0.07,$0.09,$0.07,$0.09,10437
Yang,12/1/2019 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,12687
Buttigieg,12/1/2019 12:00:00 AM,$0.14,$0.14,$0.13,$0.13,2259
Gabbard,12/1/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,1433
Clinton,12/1/2019 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,1044
Harris,12/2/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,3111
Warren,12/2/2019 12:00:00 AM,$0.11,$0.11,$0.09,$0.10,11979
Booker,12/2/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Kasich,12/2/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/2/2019 12:00:00 AM,$0.14,$0.16,$0.14,$0.15,10131
Sanders,12/2/2019 12:00:00 AM,$0.10,$0.11,$0.10,$0.11,11802
Pence,12/2/2019 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,4256
Trump,12/2/2019 12:00:00 AM,$0.44,$0.45,$0.44,$0.45,4786
Gillibrand,12/2/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,12/2/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,12/2/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,12/2/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,12/2/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1205
Haley,12/2/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,1871
Ryan,12/2/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,12/2/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,12/2/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/2/2019 12:00:00 AM,$0.09,$0.09,$0.07,$0.08,7611
Yang,12/2/2019 12:00:00 AM,$0.06,$0.08,$0.06,$0.06,15432
Buttigieg,12/2/2019 12:00:00 AM,$0.13,$0.14,$0.12,$0.13,4802
Gabbard,12/2/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,1364
Clinton,12/2/2019 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,2759
Harris,12/3/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,72788
Warren,12/3/2019 12:00:00 AM,$0.10,$0.10,$0.09,$0.09,8811
Booker,12/3/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,7
Kasich,12/3/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1000
Biden,12/3/2019 12:00:00 AM,$0.15,$0.17,$0.15,$0.16,8767
Sanders,12/3/2019 12:00:00 AM,$0.11,$0.12,$0.10,$0.11,9245
Pence,12/3/2019 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,4102
Trump,12/3/2019 12:00:00 AM,$0.45,$0.45,$0.44,$0.45,15858
Gillibrand,12/3/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,12/3/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,12/3/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,12/3/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,12/3/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,9285
Haley,12/3/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,3113
Ryan,12/3/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,12/3/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,12/3/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/3/2019 12:00:00 AM,$0.08,$0.09,$0.07,$0.07,7748
Yang,12/3/2019 12:00:00 AM,$0.06,$0.08,$0.06,$0.06,5072
Buttigieg,12/3/2019 12:00:00 AM,$0.13,$0.14,$0.12,$0.13,10201
Gabbard,12/3/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,4093
Clinton,12/3/2019 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,21818
Harris,12/4/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,7
Warren,12/4/2019 12:00:00 AM,$0.09,$0.10,$0.08,$0.09,21946
Booker,12/4/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Kasich,12/4/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Biden,12/4/2019 12:00:00 AM,$0.16,$0.17,$0.15,$0.15,16141
Sanders,12/4/2019 12:00:00 AM,$0.11,$0.12,$0.11,$0.11,5688
Pence,12/4/2019 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,32163
Trump,12/4/2019 12:00:00 AM,$0.45,$0.45,$0.44,$0.45,12129
Gillibrand,12/4/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2
Cuomo,12/4/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,12/4/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,858
Zuckerberg,12/4/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,12/4/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,6729
Haley,12/4/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,15196
Ryan,12/4/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2
O'Rourke,12/4/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,12/4/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/4/2019 12:00:00 AM,$0.07,$0.09,$0.07,$0.08,14352
Yang,12/4/2019 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,3520
Buttigieg,12/4/2019 12:00:00 AM,$0.13,$0.14,$0.13,$0.14,15810
Gabbard,12/4/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,14298
Clinton,12/4/2019 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,17427
Harris,12/5/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,9
Warren,12/5/2019 12:00:00 AM,$0.09,$0.10,$0.09,$0.09,13378
Booker,12/5/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,7000
Kasich,12/5/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3482
Biden,12/5/2019 12:00:00 AM,$0.15,$0.18,$0.15,$0.17,23963
Sanders,12/5/2019 12:00:00 AM,$0.11,$0.13,$0.11,$0.13,15629
Pence,12/5/2019 12:00:00 AM,$0.02,$0.03,$0.02,$0.03,35361
Trump,12/5/2019 12:00:00 AM,$0.45,$0.45,$0.44,$0.45,11046
Gillibrand,12/5/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,12/5/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,12/5/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,12/5/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,12/5/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,3607
Haley,12/5/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,6763
Ryan,12/5/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,12/5/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,12/5/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/5/2019 12:00:00 AM,$0.08,$0.09,$0.07,$0.08,8767
Yang,12/5/2019 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,6188
Buttigieg,12/5/2019 12:00:00 AM,$0.14,$0.14,$0.13,$0.13,16029
Gabbard,12/5/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,4399
Clinton,12/5/2019 12:00:00 AM,$0.04,$0.05,$0.03,$0.04,33905
Harris,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,106
Warren,12/6/2019 12:00:00 AM,$0.09,$0.10,$0.08,$0.09,8683
Booker,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Kasich,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,46
Biden,12/6/2019 12:00:00 AM,$0.17,$0.18,$0.15,$0.17,12448
Sanders,12/6/2019 12:00:00 AM,$0.13,$0.13,$0.12,$0.13,11261
Pence,12/6/2019 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,3754
Trump,12/6/2019 12:00:00 AM,$0.45,$0.45,$0.44,$0.44,10416
Gillibrand,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,12/6/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,4215
Haley,12/6/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,3928
Ryan,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/6/2019 12:00:00 AM,$0.08,$0.08,$0.06,$0.07,36716
Yang,12/6/2019 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,4445
Buttigieg,12/6/2019 12:00:00 AM,$0.13,$0.14,$0.13,$0.14,5444
Gabbard,12/6/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,4172
Clinton,12/6/2019 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,7485
Harris,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Warren,12/7/2019 12:00:00 AM,$0.09,$0.09,$0.08,$0.08,4590
Booker,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2000
Kasich,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/7/2019 12:00:00 AM,$0.17,$0.17,$0.16,$0.17,4558
Sanders,12/7/2019 12:00:00 AM,$0.13,$0.15,$0.12,$0.15,8497
Pence,12/7/2019 12:00:00 AM,$0.02,$0.03,$0.02,$0.03,2813
Trump,12/7/2019 12:00:00 AM,$0.44,$0.45,$0.43,$0.43,5697
Gillibrand,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,12/7/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,7115
Haley,12/7/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,3149
Ryan,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/7/2019 12:00:00 AM,$0.07,$0.07,$0.06,$0.07,6434
Yang,12/7/2019 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,5295
Buttigieg,12/7/2019 12:00:00 AM,$0.14,$0.14,$0.13,$0.14,5585
Gabbard,12/7/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,3667
Clinton,12/7/2019 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,3709
Harris,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
Warren,12/8/2019 12:00:00 AM,$0.08,$0.09,$0.08,$0.08,14833
Booker,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,24
Kasich,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,7
Biden,12/8/2019 12:00:00 AM,$0.17,$0.17,$0.16,$0.17,5866
Sanders,12/8/2019 12:00:00 AM,$0.15,$0.15,$0.13,$0.13,9007
Pence,12/8/2019 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,3030
Trump,12/8/2019 12:00:00 AM,$0.43,$0.45,$0.43,$0.45,7184
Gillibrand,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,12/8/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,5801
Haley,12/8/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,17105
Ryan,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/8/2019 12:00:00 AM,$0.07,$0.07,$0.05,$0.05,47703
Yang,12/8/2019 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,4352
Buttigieg,12/8/2019 12:00:00 AM,$0.14,$0.14,$0.11,$0.11,10797
Gabbard,12/8/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,4188
Clinton,12/8/2019 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,21387
Harris,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Warren,12/9/2019 12:00:00 AM,$0.08,$0.09,$0.08,$0.09,6281
Booker,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,200
Kasich,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,505
Biden,12/9/2019 12:00:00 AM,$0.17,$0.17,$0.16,$0.16,11520
Sanders,12/9/2019 12:00:00 AM,$0.13,$0.15,$0.13,$0.15,9491
Pence,12/9/2019 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,2632
Trump,12/9/2019 12:00:00 AM,$0.45,$0.45,$0.43,$0.44,9851
Gillibrand,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,12/9/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,3055
Haley,12/9/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,4651
Ryan,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/9/2019 12:00:00 AM,$0.05,$0.07,$0.05,$0.06,25242
Yang,12/9/2019 12:00:00 AM,$0.07,$0.07,$0.06,$0.07,4813
Buttigieg,12/9/2019 12:00:00 AM,$0.11,$0.13,$0.11,$0.12,7806
Gabbard,12/9/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,20984
Clinton,12/9/2019 12:00:00 AM,$0.03,$0.05,$0.03,$0.05,19555
Harris,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1257
Warren,12/10/2019 12:00:00 AM,$0.09,$0.09,$0.08,$0.08,11148
Booker,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1000
Kasich,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/10/2019 12:00:00 AM,$0.16,$0.18,$0.16,$0.16,16045
Sanders,12/10/2019 12:00:00 AM,$0.15,$0.18,$0.14,$0.16,20075
Pence,12/10/2019 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,3935
Trump,12/10/2019 12:00:00 AM,$0.44,$0.45,$0.43,$0.44,12733
Gillibrand,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,12/10/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,8891
Haley,12/10/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,2523
Ryan,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/10/2019 12:00:00 AM,$0.06,$0.06,$0.05,$0.06,10661
Yang,12/10/2019 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,7103
Buttigieg,12/10/2019 12:00:00 AM,$0.12,$0.13,$0.11,$0.11,26175
Gabbard,12/10/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,146919
Clinton,12/10/2019 12:00:00 AM,$0.05,$0.08,$0.04,$0.05,74797
Harris,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,4
Warren,12/11/2019 12:00:00 AM,$0.08,$0.09,$0.08,$0.08,13913
Booker,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Kasich,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1000
Biden,12/11/2019 12:00:00 AM,$0.16,$0.19,$0.16,$0.18,13036
Sanders,12/11/2019 12:00:00 AM,$0.16,$0.16,$0.15,$0.16,15694
Pence,12/11/2019 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,2508
Trump,12/11/2019 12:00:00 AM,$0.44,$0.45,$0.43,$0.45,7766
Gillibrand,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,12/11/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,54870
Haley,12/11/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,2080
Ryan,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/11/2019 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,30591
Yang,12/11/2019 12:00:00 AM,$0.06,$0.07,$0.05,$0.05,11292
Buttigieg,12/11/2019 12:00:00 AM,$0.11,$0.11,$0.08,$0.09,14315
Gabbard,12/11/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,12529
Clinton,12/11/2019 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,7709
Harris,12/12/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Warren,12/12/2019 12:00:00 AM,$0.08,$0.10,$0.08,$0.09,6249
Booker,12/12/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,40
Kasich,12/12/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,11
Biden,12/12/2019 12:00:00 AM,$0.18,$0.20,$0.18,$0.19,10915
Sanders,12/12/2019 12:00:00 AM,$0.16,$0.17,$0.14,$0.16,12661
Pence,12/12/2019 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,1480
Trump,12/12/2019 12:00:00 AM,$0.45,$0.45,$0.44,$0.45,13163
Gillibrand,12/12/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,12/12/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,12/12/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,12/12/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,12/12/2019 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,14778
Haley,12/12/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,2261
Ryan,12/12/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,12/12/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,12/12/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/12/2019 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,3114
Yang,12/12/2019 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,5360
Buttigieg,12/12/2019 12:00:00 AM,$0.09,$0.11,$0.09,$0.10,8987
Gabbard,12/12/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/12/2019 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,6190
Harris,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,7
Warren,12/13/2019 12:00:00 AM,$0.09,$0.10,$0.08,$0.08,10161
Booker,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5
Kasich,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/13/2019 12:00:00 AM,$0.19,$0.19,$0.18,$0.19,5663
Sanders,12/13/2019 12:00:00 AM,$0.16,$0.16,$0.14,$0.16,3593
Pence,12/13/2019 12:00:00 AM,$0.02,$0.03,$0.02,$0.03,3291
Trump,12/13/2019 12:00:00 AM,$0.45,$0.46,$0.44,$0.46,17720
Gillibrand,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,12/13/2019 12:00:00 AM,$0.01,$0.03,$0.01,$0.02,4874
Haley,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,49668
Ryan,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/13/2019 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,10725
Yang,12/13/2019 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,4778
Buttigieg,12/13/2019 12:00:00 AM,$0.10,$0.10,$0.08,$0.09,4088
Gabbard,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Clinton,12/13/2019 12:00:00 AM,$0.05,$0.07,$0.05,$0.06,5029
Harris,12/14/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Warren,12/14/2019 12:00:00 AM,$0.08,$0.10,$0.08,$0.09,6599
Booker,12/14/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,203
Kasich,12/14/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/14/2019 12:00:00 AM,$0.19,$0.21,$0.18,$0.19,11518
Sanders,12/14/2019 12:00:00 AM,$0.16,$0.16,$0.14,$0.15,5562
Pence,12/14/2019 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,4109
Trump,12/14/2019 12:00:00 AM,$0.46,$0.46,$0.44,$0.45,10475
Gillibrand,12/14/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,12/14/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,12/14/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,12/14/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,12/14/2019 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,2994
Haley,12/14/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2984
Ryan,12/14/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,12/14/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,12/14/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/14/2019 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,17680
Yang,12/14/2019 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,4509
Buttigieg,12/14/2019 12:00:00 AM,$0.09,$0.10,$0.08,$0.09,5689
Gabbard,12/14/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3101
Clinton,12/14/2019 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,6848
Harris,12/15/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Warren,12/15/2019 12:00:00 AM,$0.09,$0.10,$0.08,$0.09,10020
Booker,12/15/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Kasich,12/15/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/15/2019 12:00:00 AM,$0.19,$0.21,$0.19,$0.20,3291
Sanders,12/15/2019 12:00:00 AM,$0.15,$0.16,$0.14,$0.14,6921
Pence,12/15/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,22426
Trump,12/15/2019 12:00:00 AM,$0.45,$0.47,$0.45,$0.46,7768
Gillibrand,12/15/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,12/15/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
